student,part1,part2,part3,part4,part5,part6,part7,revision
97,1.0,1.0,0.7,1.0,1.0,1.0,1.0,0.0
98,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,1.0,1.0,0.8,0.9,0.8,0.8,0.3,0.9
100,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0
101,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.0
102,1.0,1.0,1.0,0.9,0.0,0.1,0.2,0.1
103,0.7,0.8,0.4,0.7,0.2,0.7,0.3,0.7
104,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.1
105,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
107,0.6,0.6,0.7,0.7,0.8,0.9,0.5,0.0
108,0.8,0.7,0.8,0.8,0.6,0.8,0.7,0.8
109,1.0,1.0,1.0,0.8,0.0,0.0,0.0,0.0
110,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
111,1.0,1.0,1.0,1.0,0.7,0.9,0.9,0.2
112,1.0,1.0,0.4,0.0,0.9,0.6,0.9,1.0
113,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
114,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.1
115,1.0,1.0,0.9,0.9,0.7,0.4,0.7,0.1
116,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0
117,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.0
118,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
119,1.0,1.0,0.8,0.9,0.0,0.0,0.0,0.0
120,1.0,1.0,1.0,1.0,0.9,1.0,0.0,0.0
121,1.0,1.0,0.4,0.0,0.0,0.0,0.0,0.1
122,1.0,1.0,1.0,1.0,0.8,0.8,0.4,0.0
123,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.0
124,1.0,1.0,0.4,0.7,0.6,1.0,0.9,0.0
125,0.8,1.0,0.7,0.9,0.8,0.6,0.4,0.0
126,1.0,0.9,0.7,0.7,0.5,0.5,0.6,0.0
127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
129,0.9,1.0,0.9,0.8,0.9,0.9,0.3,0.0
130,1.0,1.0,1.0,1.0,0.7,0.9,0.8,0.0
131,0.9,1.0,0.9,0.9,0.0,0.0,0.0,0.0
132,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.0
133,0.9,0.8,0.7,0.6,0.7,0.6,0.0,0.9
134,1.0,1.0,1.0,1.0,1.0,0.7,0.9,0.0
135,0.8,0.5,0.2,0.0,0.0,0.0,0.0,0.0
136,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.1
137,1.0,1.0,1.0,0.9,0.1,0.1,0.1,0.0
138,0.9,0.9,0.0,0.8,0.0,0.3,0.2,0.0
139,1.0,0.9,0.8,0.9,0.8,0.8,0.5,0.0
140,1.0,1.0,1.0,0.6,0.7,0.9,0.9,0.1
141,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
142,1.0,1.0,1.0,0.9,0.9,0.7,0.2,0.0
143,1.0,1.0,0.9,0.8,0.8,0.8,0.7,0.2
144,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.1
145,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
146,1.0,1.0,0.8,1.0,0.6,0.7,0.4,1.0
147,1.0,0.9,0.9,0.8,0.7,0.6,0.3,0.6
148,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.7
149,0.8,0.4,0.3,0.4,0.0,0.3,0.5,0.8
150,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.3
151,1.0,1.0,1.0,0.9,0.5,1.0,0.0,0.1
152,1.0,1.0,1.0,0.9,0.6,0.9,0.4,0.0
153,1.0,0.9,1.0,1.0,0.1,0.0,0.0,0.0
154,0.9,1.0,1.0,1.0,0.8,0.9,0.8,0.0
155,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0
156,1.0,1.0,1.0,1.0,0.8,0.8,0.9,0.0
157,1.0,0.9,0.6,0.8,0.2,0.6,0.6,0.2
158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
159,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
160,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
162,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
163,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.1
164,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.3
165,0.9,0.7,0.7,0.2,0.6,0.0,0.4,0.4
166,0.9,1.0,1.0,1.0,0.7,0.9,0.8,0.0
167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
168,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.1
169,1.0,1.0,1.0,1.0,0.8,1.0,0.5,0.1
170,1.0,1.0,1.0,1.0,0.8,0.9,0.8,0.3
171,0.8,1.0,1.0,1.0,0.8,0.8,0.9,0.3
172,1.0,1.0,1.0,1.0,0.5,0.7,0.7,1.0
173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8
175,1.0,1.0,0.9,0.9,0.9,0.9,0.3,0.0
176,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.0
177,1.0,1.0,0.7,0.9,0.4,0.7,0.9,0.5
178,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,0.8,0.5,0.7,0.5,0.5,0.7,0.6,0.5
180,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0
181,1.0,1.0,1.0,0.9,1.0,0.9,0.8,0.0
182,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.0
183,1.0,1.0,1.0,1.0,0.9,0.7,0.6,0.5
184,0.9,1.0,0.8,0.0,0.0,0.0,0.0,0.0
185,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.1
186,1.0,1.0,1.0,0.9,1.0,0.9,0.9,0.0
187,1.0,1.0,0.8,0.8,0.8,0.8,0.5,0.0
188,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.3
189,0.8,0.3,0.1,0.2,0.0,0.0,0.0,0.0
190,1.0,1.0,0.8,0.7,1.0,0.7,0.5,0.0
191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
192,0.9,0.8,0.4,0.0,0.0,0.0,0.0,0.0
193,0.9,1.0,0.9,1.0,0.9,0.9,0.5,0.0
194,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.3
195,0.9,0.0,0.4,0.0,0.0,0.0,0.1,0.0
196,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
197,0.9,0.9,0.6,0.8,0.6,0.5,0.4,0.4
198,1.0,1.0,0.8,1.0,0.9,0.5,0.3,0.0
199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
200,1.0,1.0,0.6,0.8,0.4,0.0,0.1,0.7
201,0.9,0.5,0.6,0.9,0.6,0.4,0.1,0.0
202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2
205,0.9,0.9,0.6,0.1,0.0,0.0,0.0,0.0
206,1.0,0.9,0.8,0.9,0.9,0.9,0.7,0.4
207,0.9,0.7,0.2,0.0,0.0,0.0,0.0,0.0
208,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,1.0,1.0,0.9,1.0,0.9,0.9,0.9,0.0
210,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.0
211,1.0,0.8,0.9,0.9,0.8,0.6,0.3,0.0
212,1.0,1.0,0.8,1.0,0.8,0.9,0.9,0.0
213,0.9,0.5,0.7,0.6,0.0,0.0,0.0,0.0
214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
215,1.0,1.0,0.9,0.9,1.0,0.0,0.1,0.5
216,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9
218,0.9,0.8,0.7,0.2,0.0,0.0,0.0,0.0
219,0.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0
220,0.6,1.0,0.6,0.8,0.4,0.3,0.7,0.6
221,1.0,1.0,1.0,0.9,1.0,0.9,0.6,0.2
222,0.7,0.7,0.4,0.6,0.4,0.4,0.0,0.0
223,0.9,0.8,0.8,0.8,0.9,0.6,0.7,0.5
224,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
225,0.9,0.9,0.8,0.9,0.7,0.7,0.6,0.3
226,0.9,1.0,0.9,0.0,0.8,0.9,0.9,0.3
227,0.8,0.6,0.3,0.6,0.8,0.6,0.3,0.0
228,1.0,0.4,0.7,0.9,0.0,0.3,0.2,0.3
229,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
230,1.0,1.0,1.0,1.0,0.9,1.0,0.9,0.8
231,0.6,0.9,0.9,0.9,0.9,0.9,0.7,0.0
232,1.0,1.0,1.0,0.9,0.8,0.7,0.5,0.0
233,0.9,0.5,0.2,0.0,0.0,0.1,0.1,0.2
234,0.8,0.6,0.7,0.8,0.0,0.7,0.7,0.6
235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
236,1.0,1.0,0.9,1.0,0.8,0.8,0.8,0.0
237,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
238,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0
239,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
240,0.8,0.5,0.5,0.5,0.0,0.0,0.0,0.0
241,0.8,0.5,0.4,0.3,0.0,0.0,0.3,0.5
242,1.0,0.8,0.8,1.0,0.8,0.8,0.5,0.0
243,1.0,1.0,1.0,1.0,0.6,1.0,0.7,0.1
244,1.0,1.0,0.9,1.0,0.8,0.9,0.8,0.6
245,1.0,1.0,0.9,1.0,0.6,0.7,0.6,0.0
246,1.0,0.9,0.6,0.8,0.2,0.6,0.6,0.3
247,0.9,0.8,0.9,0.9,0.2,0.9,0.4,0.0
248,1.0,1.0,0.9,1.0,1.0,1.0,0.7,0.0
249,1.0,1.0,1.0,1.0,0.8,1.0,0.9,0.3
250,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,0.9,1.0,0.9,0.9,0.8,0.9,0.7,0.0
252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
253,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0
254,0.9,1.0,1.0,0.9,1.0,1.0,0.9,0.0
255,1.0,1.0,1.0,1.0,0.8,0.9,0.8,0.8
256,1.0,1.0,0.8,0.7,0.0,0.0,0.0,0.0
257,1.0,0.8,1.0,1.0,0.2,0.7,0.3,0.0
258,0.9,1.0,0.7,0.0,0.0,0.0,0.0,0.0
259,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
260,0.9,0.9,0.7,0.8,0.7,0.8,0.4,1.0
261,1.0,1.0,1.0,1.0,0.8,1.0,0.9,0.0
262,0.8,0.7,0.7,0.9,0.7,0.7,0.7,0.0
263,1.0,1.0,0.0,0.8,0.6,0.4,0.9,0.6
264,1.0,1.0,1.0,1.0,1.0,0.9,0.7,0.0
265,1.0,1.0,1.0,1.0,0.8,0.6,0.1,0.0
266,1.0,1.0,0.9,1.0,1.0,1.0,0.8,0.0
267,1.0,1.0,1.0,1.0,0.9,1.0,0.9,0.0
268,1.0,1.0,1.0,1.0,0.9,0.9,0.6,0.1
269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
270,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0
271,1.0,0.9,0.8,1.0,0.7,0.0,0.7,0.3
272,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.2
273,1.0,1.0,0.9,0.7,0.8,0.9,0.4,0.0
274,1.0,1.0,1.0,0.9,0.8,0.7,0.2,0.0
275,0.9,0.9,0.8,0.8,0.8,0.9,0.6,0.5
276,0.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0
277,1.0,1.0,0.9,1.0,0.7,0.7,0.7,0.5
278,1.0,1.0,1.0,1.0,1.0,0.9,0.7,0.0
279,1.0,1.0,1.0,0.8,1.0,0.7,0.9,0.0
280,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,1.0,1.0,1.0,0.9,0.8,0.9,0.8,0.5
282,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.0
